"Label (Grouping)","Population 1 year and over"
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Jackson County, Indiana",""
"    Total",""
"        Estimate","45,862"
"        Margin of Error","±179"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Jasper County, Indiana",""
"    Total",""
"        Estimate","32,702"
"        Margin of Error","±111"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Jay County, Indiana",""
"    Total",""
"        Estimate","19,993"
"        Margin of Error","±106"
"    Moved; within same county",""
"        Estimate","6.4%"
"        Margin of Error","±2.1"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Jefferson County, Indiana",""
"    Total",""
"        Estimate","32,722"
"        Margin of Error","±114"
"    Moved; within same county",""
"        Estimate","5.7%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Jennings County, Indiana",""
"    Total",""
"        Estimate","27,228"
"        Margin of Error","±108"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"Johnson County, Indiana",""
"    Total",""
"        Estimate","162,235"
"        Margin of Error","±346"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","7.0%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Knox County, Indiana",""
"    Total",""
"        Estimate","35,743"
"        Margin of Error","±116"
"    Moved; within same county",""
"        Estimate","7.5%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Kosciusko County, Indiana",""
