"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"    Percent Male","","","","",""
"        Estimate","(X)","12.9%","(X)","4.6%","15.0%"
"    Female","","","","",""
"        Estimate","611","140","4,961","207","158"
"    Percent Female","","","","",""
"        Estimate","(X)","22.9%","(X)","4.2%","3.2%"
"Orange County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,501","120","26,758","822","1,506"
"    Percent","","","","",""
"        Estimate","(X)","4.8%","(X)","3.1%","5.6%"
"    Male","","","","",""
"        Estimate","1,272","53","13,050","342","833"
"    Percent Male","","","","",""
"        Estimate","(X)","4.2%","(X)","2.6%","6.4%"
"    Female","","","","",""
"        Estimate","1,229","67","13,708","480","673"
"    Percent Female","","","","",""
"        Estimate","(X)","5.5%","(X)","3.5%","4.9%"
"Page County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,635","39","17,396","929","1,872"
"    Percent","","","","",""
"        Estimate","(X)","2.4%","(X)","5.3%","10.8%"
"    Male","","","","",""
"        Estimate","923","13","8,474","668","917"
"    Percent Male","","","","",""
"        Estimate","(X)","1.4%","(X)","7.9%","10.8%"
"    Female","","","","",""
"        Estimate","712","26","8,922","261","955"
"    Percent Female","","","","",""
"        Estimate","(X)","3.7%","(X)","2.9%","10.7%"
"Patrick County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","823","133","13,723","964","1,176"
"    Percent","","","","",""
"        Estimate","(X)","16.2%","(X)","7.0%","8.6%"
"    Male","","","","",""
"        Estimate","501","107","6,801","574","527"
"    Percent Male","","","","",""
"        Estimate","(X)","21.4%","(X)","8.4%","7.7%"
"    Female","","","","",""
"        Estimate","322","26","6,922","390","649"
"    Percent Female","","","","",""
"        Estimate","(X)","8.1%","(X)","5.6%","9.4%"
"Pittsylvania County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","4,377","603","44,901","2,118","4,276"
"    Percent","","","","",""
"        Estimate","(X)","13.8%","(X)","4.7%","9.5%"
"    Male","","","","",""
"        Estimate","2,333","205","22,113","1,474","2,459"
"    Percent Male","","","","",""
"        Estimate","(X)","8.8%","(X)","6.7%","11.1%"
"    Female","","","","",""
"        Estimate","2,044","398","22,788","644","1,817"
"    Percent Female","","","","",""
"        Estimate","(X)","19.5%","(X)","2.8%","8.0%"
"Powhatan County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,024","226","23,494","611","1,380"
"    Percent","","","","",""
"        Estimate","(X)","11.2%","(X)","2.6%","5.9%"
"    Male","","","","",""
"        Estimate","1,173","226","12,221","456","858"
"    Percent Male","","","","",""
"        Estimate","(X)","19.3%","(X)","3.7%","7.0%"
"    Female","","","","",""
"        Estimate","851","0","11,273","155","522"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","1.4%","4.6%"
"Prince Edward County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","5,741","188","12,920","587","965"
"    Percent","","","","",""
"        Estimate","(X)","3.3%","(X)","4.5%","7.5%"
"    Male","","","","",""
"        Estimate","3,268","141","6,269","370","504"
"    Percent Male","","","","",""
"        Estimate","(X)","4.3%","(X)","5.9%","8.0%"
"    Female","","","","",""
"        Estimate","2,473","47","6,651","217","461"
"    Percent Female","","","","",""
"        Estimate","(X)","1.9%","(X)","3.3%","6.9%"
"Prince George County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","6,828","589","27,591","924","1,678"
"    Percent","","","","",""
"        Estimate","(X)","8.6%","(X)","3.3%","6.1%"
"    Male","","","","",""
"        Estimate","4,401","527","15,334","549","1,112"
"    Percent Male","","","","",""
"        Estimate","(X)","12.0%","(X)","3.6%","7.3%"
"    Female","","","","",""
"        Estimate","2,427","62","12,257","375","566"
"    Percent Female","","","","",""
"        Estimate","(X)","2.6%","(X)","3.1%","4.6%"
"Prince William County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","42,934","5,253","312,580","17,489","13,080"
"    Percent","","","","",""
"        Estimate","(X)","12.2%","(X)","5.6%","4.2%"
"    Male","","","","",""
"        Estimate","22,494","2,895","154,500","8,543","6,790"
"    Percent Male","","","","",""
"        Estimate","(X)","12.9%","(X)","5.5%","4.4%"
"    Female","","","","",""
"        Estimate","20,440","2,358","158,080","8,946","6,290"
"    Percent Female","","","","",""
"        Estimate","(X)","11.5%","(X)","5.7%","4.0%"
"Pulaski County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,281","106","25,457","790","1,571"
"    Percent","","","","",""
"        Estimate","(X)","4.6%","(X)","3.1%","6.2%"
"    Male","","","","",""
"        Estimate","1,220","57","12,779","504","903"
"    Percent Male","","","","",""
"        Estimate","(X)","4.7%","(X)","3.9%","7.1%"
"    Female","","","","",""
"        Estimate","1,061","49","12,678","286","668"
"    Percent Female","","","","",""
"        Estimate","(X)","4.6%","(X)","2.3%","5.3%"
"Rappahannock County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","423","56","5,679","202","261"
"    Percent","","","","",""
"        Estimate","(X)","13.2%","(X)","3.6%","4.6%"
"    Male","","","","",""
"        Estimate","199","24","2,820","117","156"
"    Percent Male","","","","",""
"        Estimate","(X)","12.1%","(X)","4.1%","5.5%"
"    Female","","","","",""
"        Estimate","224","32","2,859","85","105"
"    Percent Female","","","","",""
"        Estimate","(X)","14.3%","(X)","3.0%","3.7%"
"Richmond County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","603","142","6,851","415","1,156"
"    Percent","","","","",""
"        Estimate","(X)","23.5%","(X)","6.1%","16.9%"
"    Male","","","","",""
"        Estimate","355","118","3,926","274","747"
"    Percent Male","","","","",""
"        Estimate","(X)","33.2%","(X)","7.0%","19.0%"
"    Female","","","","",""
"        Estimate","248","24","2,925","141","409"
"    Percent Female","","","","",""
"        Estimate","(X)","9.7%","(X)","4.8%","14.0%"
"Roanoke County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","7,203","654","70,378","1,931","2,442"
"    Percent","","","","",""
"        Estimate","(X)","9.1%","(X)","2.7%","3.5%"
"    Male","","","","",""
"        Estimate","3,458","443","33,470","1,181","1,292"
"    Percent Male","","","","",""
"        Estimate","(X)","12.8%","(X)","3.5%","3.9%"
"    Female","","","","",""
"        Estimate","3,745","211","36,908","750","1,150"
"    Percent Female","","","","",""
"        Estimate","(X)","5.6%","(X)","2.0%","3.1%"
"Rockbridge County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,587","184","17,002","639","900"
"    Percent","","","","",""
"        Estimate","(X)","11.6%","(X)","3.8%","5.3%"
"    Male","","","","",""
"        Estimate","768","159","8,333","319","626"
"    Percent Male","","","","",""
"        Estimate","(X)","20.7%","(X)","3.8%","7.5%"
"    Female","","","","",""
"        Estimate","819","25","8,669","320","274"
"    Percent Female","","","","",""
"        Estimate","(X)","3.1%","(X)","3.7%","3.2%"
"Rockingham County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","7,920","715","58,041","2,969","4,567"
"    Percent","","","","",""
"        Estimate","(X)","9.0%","(X)","5.1%","7.9%"
"    Male","","","","",""
"        Estimate","3,903","314","28,268","1,459","2,450"
"    Percent Male","","","","",""
"        Estimate","(X)","8.0%","(X)","5.2%","8.7%"
"    Female","","","","",""
"        Estimate","4,017","401","29,773","1,510","2,117"
"    Percent Female","","","","",""
"        Estimate","(X)","10.0%","(X)","5.1%","7.1%"
"Russell County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,814","252","19,028","1,351","1,815"
"    Percent","","","","",""
"        Estimate","(X)","13.9%","(X)","7.1%","9.5%"
"    Male","","","","",""
"        Estimate","993","161","9,256","758","1,050"
"    Percent Male","","","","",""
"        Estimate","(X)","16.2%","(X)","8.2%","11.3%"
"    Female","","","","",""
"        Estimate","821","91","9,772","593","765"
"    Percent Female","","","","",""
"        Estimate","(X)","11.1%","(X)","6.1%","7.8%"
"Scott County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,481","143","16,156","1,268","1,322"
"    Percent","","","","",""
"        Estimate","(X)","9.7%","(X)","7.8%","8.2%"
"    Male","","","","",""
"        Estimate","777","101","8,128","799","762"
"    Percent Male","","","","",""
"        Estimate","(X)","13.0%","(X)","9.8%","9.4%"
"    Female","","","","",""
"        Estimate","704","42","8,028","469","560"
"    Percent Female","","","","",""
"        Estimate","(X)","6.0%","(X)","5.8%","7.0%"
"Shenandoah County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,294","473","31,787","1,328","2,155"
"    Percent","","","","",""
"        Estimate","(X)","14.4%","(X)","4.2%","6.8%"
"    Male","","","","",""
"        Estimate","1,541","69","15,558","830","1,289"
"    Percent Male","","","","",""
"        Estimate","(X)","4.5%","(X)","5.3%","8.3%"
"    Female","","","","",""
"        Estimate","1,753","404","16,229","498","866"
"    Percent Female","","","","",""
"        Estimate","(X)","23.0%","(X)","3.1%","5.3%"
"Smyth County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,165","282","21,702","1,021","1,994"
"    Percent","","","","",""
"        Estimate","(X)","13.0%","(X)","4.7%","9.2%"
"    Male","","","","",""
"        Estimate","1,139","209","10,563","480","958"
"    Percent Male","","","","",""
"        Estimate","(X)","18.3%","(X)","4.5%","9.1%"
"    Female","","","","",""
"        Estimate","1,026","73","11,139","541","1,036"
"    Percent Female","","","","",""
"        Estimate","(X)","7.1%","(X)","4.9%","9.3%"
"Southampton County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,244","46","13,300","614","1,156"
"    Percent","","","","",""
"        Estimate","(X)","3.7%","(X)","4.6%","8.7%"
"    Male","","","","",""
"        Estimate","662","22","7,007","324","785"
"    Percent Male","","","","",""
"        Estimate","(X)","3.3%","(X)","4.6%","11.2%"
"    Female","","","","",""
"        Estimate","582","24","6,293","290","371"
"    Percent Female","","","","",""
"        Estimate","(X)","4.1%","(X)","4.6%","5.9%"
"Spotsylvania County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","11,863","1,486","96,629","3,516","5,439"
"    Percent","","","","",""
"        Estimate","(X)","12.5%","(X)","3.6%","5.6%"
"    Male","","","","",""
"        Estimate","6,121","1,106","46,992","2,045","3,090"
"    Percent Male","","","","",""
"        Estimate","(X)","18.1%","(X)","4.4%","6.6%"
"    Female","","","","",""
"        Estimate","5,742","380","49,637","1,471","2,349"
"    Percent Female","","","","",""
"        Estimate","(X)","6.6%","(X)","3.0%","4.7%"
"Stafford County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","14,885","1,384","103,581","3,295","4,152"
"    Percent","","","","",""
"        Estimate","(X)","9.3%","(X)","3.2%","4.0%"
"    Male","","","","",""
"        Estimate","7,988","653","51,573","1,829","2,039"
"    Percent Male","","","","",""
"        Estimate","(X)","8.2%","(X)","3.5%","4.0%"
"    Female","","","","",""
"        Estimate","6,897","731","52,008","1,466","2,113"
"    Percent Female","","","","",""
"        Estimate","(X)","10.6%","(X)","2.8%","4.1%"
"Surry County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","520","67","4,921","110","383"
"    Percent","","","","",""
"        Estimate","(X)","12.9%","(X)","2.2%","7.8%"
"    Male","","","","",""
"        Estimate","244","42","2,433","50","291"
"    Percent Male","","","","",""
"        Estimate","(X)","17.2%","(X)","2.1%","12.0%"
"    Female","","","","",""
"        Estimate","276","25","2,488","60","92"
"    Percent Female","","","","",""
"        Estimate","(X)","9.1%","(X)","2.4%","3.7%"
"Sussex County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","835","125","8,255","272","1,000"
"    Percent","","","","",""
"        Estimate","(X)","15.0%","(X)","3.3%","12.1%"
"    Male","","","","",""
"        Estimate","541","81","4,888","206","596"
"    Percent Male","","","","",""
"        Estimate","(X)","15.0%","(X)","4.2%","12.2%"
"    Female","","","","",""
"        Estimate","294","44","3,367","66","404"
"    Percent Female","","","","",""
"        Estimate","(X)","15.0%","(X)","2.0%","12.0%"
"Tazewell County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,078","713","28,920","1,663","2,005"
"    Percent","","","","",""
"        Estimate","(X)","23.2%","(X)","5.8%","6.9%"
"    Male","","","","",""
"        Estimate","1,521","333","14,078","764","1,044"
"    Percent Male","","","","",""
"        Estimate","(X)","21.9%","(X)","5.4%","7.4%"
"    Female","","","","",""
"        Estimate","1,557","380","14,842","899","961"
"    Percent Female","","","","",""
"        Estimate","(X)","24.4%","(X)","6.1%","6.5%"
"Warren County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,144","271","29,086","1,174","2,033"
"    Percent","","","","",""
"        Estimate","(X)","8.6%","(X)","4.0%","7.0%"
"    Male","","","","",""
"        Estimate","1,704","146","14,500","629","1,102"
"    Percent Male","","","","",""
"        Estimate","(X)","8.6%","(X)","4.3%","7.6%"
"    Female","","","","",""
"        Estimate","1,440","125","14,586","545","931"
"    Percent Female","","","","",""
"        Estimate","(X)","8.7%","(X)","3.7%","6.4%"
"Washington County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","4,264","328","40,309","1,442","2,541"
"    Percent","","","","",""
"        Estimate","(X)","7.7%","(X)","3.6%","6.3%"
"    Male","","","","",""
"        Estimate","2,270","187","19,884","845","1,449"
"    Percent Male","","","","",""
"        Estimate","(X)","8.2%","(X)","4.2%","7.3%"
"    Female","","","","",""
"        Estimate","1,994","141","20,425","597","1,092"
"    Percent Female","","","","",""
"        Estimate","(X)","7.1%","(X)","2.9%","5.3%"
"Westmoreland County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,105","109","14,171","789","1,458"
"    Percent","","","","",""
"        Estimate","(X)","9.9%","(X)","5.6%","10.3%"
"    Male","","","","",""
"        Estimate","579","56","6,759","369","758"
"    Percent Male","","","","",""
"        Estimate","(X)","9.7%","(X)","5.5%","11.2%"
"    Female","","","","",""
"        Estimate","526","53","7,412","420","700"
"    Percent Female","","","","",""
"        Estimate","(X)","10.1%","(X)","5.7%","9.4%"
"Wise County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,038","244","25,834","1,649","3,434"
"    Percent","","","","",""
"        Estimate","(X)","8.0%","(X)","6.4%","13.3%"
"    Male","","","","",""
"        Estimate","1,669","151","13,604","982","2,092"
"    Percent Male","","","","",""
"        Estimate","(X)","9.0%","(X)","7.2%","15.4%"
"    Female","","","","",""
"        Estimate","1,369","93","12,230","667","1,342"
"    Percent Female","","","","",""
"        Estimate","(X)","6.8%","(X)","5.5%","11.0%"
"Wythe County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,982","196","20,731","698","1,459"
"    Percent","","","","",""
"        Estimate","(X)","9.9%","(X)","3.4%","7.0%"
"    Male","","","","",""
"        Estimate","1,030","160","9,972","432","799"
"    Percent Male","","","","",""
"        Estimate","(X)","15.5%","(X)","4.3%","8.0%"
"    Female","","","","",""
"        Estimate","952","36","10,759","266","660"
"    Percent Female","","","","",""
"        Estimate","(X)","3.8%","(X)","2.5%","6.1%"
"York County, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","6,148","556","47,964","721","1,348"
"    Percent","","","","",""
"        Estimate","(X)","9.0%","(X)","1.5%","2.8%"
"    Male","","","","",""
"        Estimate","3,532","274","23,147","317","545"
"    Percent Male","","","","",""
"        Estimate","(X)","7.8%","(X)","1.4%","2.4%"
"    Female","","","","",""
"        Estimate","2,616","282","24,817","404","803"
"    Percent Female","","","","",""
"        Estimate","(X)","10.8%","(X)","1.6%","3.2%"
"Alexandria city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","9,132","1,069","118,944","4,845","3,652"
"    Percent","","","","",""
"        Estimate","(X)","11.7%","(X)","4.1%","3.1%"
"    Male","","","","",""
"        Estimate","4,280","683","57,070","2,339","1,596"
"    Percent Male","","","","",""
"        Estimate","(X)","16.0%","(X)","4.1%","2.8%"
"    Female","","","","",""
"        Estimate","4,852","386","61,874","2,506","2,056"
"    Percent Female","","","","",""
"        Estimate","(X)","8.0%","(X)","4.1%","3.3%"
"Bristol city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,367","229","12,224","320","957"
"    Percent","","","","",""
"        Estimate","(X)","16.8%","(X)","2.6%","7.8%"
"    Male","","","","",""
"        Estimate","765","118","5,692","183","570"
"    Percent Male","","","","",""
"        Estimate","(X)","15.4%","(X)","3.2%","10.0%"
"    Female","","","","",""
"        Estimate","602","111","6,532","137","387"
"    Percent Female","","","","",""
"        Estimate","(X)","18.4%","(X)","2.1%","5.9%"
"Buena Vista city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,099","0","4,092","202","479"
"    Percent","","","","",""
"        Estimate","(X)","0.0%","(X)","4.9%","11.7%"
"    Male","","","","",""
"        Estimate","528","0","1,901","124","262"
"    Percent Male","","","","",""
"        Estimate","(X)","0.0%","(X)","6.5%","13.8%"
"    Female","","","","",""
"        Estimate","571","0","2,191","78","217"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","3.6%","9.9%"
"Charlottesville city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","9,386","202","29,058","800","1,339"
"    Percent","","","","",""
"        Estimate","(X)","2.2%","(X)","2.8%","4.6%"
"    Male","","","","",""
"        Estimate","4,634","151","13,737","293","693"
"    Percent Male","","","","",""
"        Estimate","(X)","3.3%","(X)","2.1%","5.0%"
"    Female","","","","",""
"        Estimate","4,752","51","15,321","507","646"
"    Percent Female","","","","",""
"        Estimate","(X)","1.1%","(X)","3.3%","4.2%"
"Chesapeake city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","20,182","2,468","169,871","4,024","7,126"
"    Percent","","","","",""
"        Estimate","(X)","12.2%","(X)","2.4%","4.2%"
"    Male","","","","",""
"        Estimate","10,517","1,368","81,629","2,099","4,236"
"    Percent Male","","","","",""
"        Estimate","(X)","13.0%","(X)","2.6%","5.2%"
"    Female","","","","",""
"        Estimate","9,665","1,100","88,242","1,925","2,890"
"    Percent Female","","","","",""
"        Estimate","(X)","11.4%","(X)","2.2%","3.3%"
"Colonial Heights city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,138","170","12,675","436","599"
"    Percent","","","","",""
"        Estimate","(X)","14.9%","(X)","3.4%","4.7%"
"    Male","","","","",""
"        Estimate","650","135","5,562","97","339"
"    Percent Male","","","","",""
"        Estimate","(X)","20.8%","(X)","1.7%","6.1%"
"    Female","","","","",""
"        Estimate","488","35","7,113","339","260"
"    Percent Female","","","","",""
"        Estimate","(X)","7.2%","(X)","4.8%","3.7%"
"Covington city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","557","41","3,823","131","364"
"    Percent","","","","",""
"        Estimate","(X)","7.4%","(X)","3.4%","9.5%"
"    Male","","","","",""
"        Estimate","309","32","1,759","71","237"
"    Percent Male","","","","",""
"        Estimate","(X)","10.4%","(X)","4.0%","13.5%"
"    Female","","","","",""
"        Estimate","248","9","2,064","60","127"
"    Percent Female","","","","",""
"        Estimate","(X)","3.6%","(X)","2.9%","6.2%"
"Danville city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,567","520","29,233","1,354","3,026"
"    Percent","","","","",""
"        Estimate","(X)","14.6%","(X)","4.6%","10.4%"
"    Male","","","","",""
"        Estimate","1,835","268","12,667","621","1,676"
"    Percent Male","","","","",""
"        Estimate","(X)","14.6%","(X)","4.9%","13.2%"
"    Female","","","","",""
"        Estimate","1,732","252","16,566","733","1,350"
"    Percent Female","","","","",""
"        Estimate","(X)","14.5%","(X)","4.4%","8.1%"
"Emporia city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","468","0","3,643","357","527"
"    Percent","","","","",""
"        Estimate","(X)","0.0%","(X)","9.8%","14.5%"
"    Male","","","","",""
"        Estimate","88","0","1,596","212","145"
"    Percent Male","","","","",""
"        Estimate","(X)","0.0%","(X)","13.3%","9.1%"
"    Female","","","","",""
"        Estimate","380","0","2,047","145","382"
"    Percent Female","","","","",""
"        Estimate","(X)","0.0%","(X)","7.1%","18.7%"
"Fairfax city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,364","285","16,231","691","635"
"    Percent","","","","",""
"        Estimate","(X)","12.1%","(X)","4.3%","3.9%"
"    Male","","","","",""
"        Estimate","1,187","177","7,873","331","308"
"    Percent Male","","","","",""
"        Estimate","(X)","14.9%","(X)","4.2%","3.9%"
"    Female","","","","",""
"        Estimate","1,177","108","8,358","360","327"
"    Percent Female","","","","",""
"        Estimate","(X)","9.2%","(X)","4.3%","3.9%"
"Falls Church city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,220","67","9,845","146","113"
"    Percent","","","","",""
"        Estimate","(X)","5.5%","(X)","1.5%","1.1%"
"    Male","","","","",""
"        Estimate","625","10","4,721","21","49"
"    Percent Male","","","","",""
"        Estimate","(X)","1.6%","(X)","0.4%","1.0%"
"    Female","","","","",""
"        Estimate","595","57","5,124","125","64"
"    Percent Female","","","","",""
"        Estimate","(X)","9.6%","(X)","2.4%","1.2%"
"Franklin city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","442","29","5,588","250","607"
"    Percent","","","","",""
"        Estimate","(X)","6.6%","(X)","4.5%","10.9%"
"    Male","","","","",""
"        Estimate","238","9","2,388","157","210"
"    Percent Male","","","","",""
"        Estimate","(X)","3.8%","(X)","6.6%","8.8%"
"    Female","","","","",""
"        Estimate","204","20","3,200","93","397"
"    Percent Female","","","","",""
"        Estimate","(X)","9.8%","(X)","2.9%","12.4%"
"Fredericksburg city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","5,495","254","16,880","650","591"
"    Percent","","","","",""
"        Estimate","(X)","4.6%","(X)","3.9%","3.5%"
"    Male","","","","",""
"        Estimate","2,181","185","8,098","248","288"
"    Percent Male","","","","",""
"        Estimate","(X)","8.5%","(X)","3.1%","3.6%"
"    Female","","","","",""
"        Estimate","3,314","69","8,782","402","303"
"    Percent Female","","","","",""
"        Estimate","(X)","2.1%","(X)","4.6%","3.5%"
"Galax city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","604","23","4,462","197","560"
"    Percent","","","","",""
"        Estimate","(X)","3.8%","(X)","4.4%","12.6%"
"    Male","","","","",""
"        Estimate","184","6","1,991","77","363"
"    Percent Male","","","","",""
"        Estimate","(X)","3.3%","(X)","3.9%","18.2%"
"    Female","","","","",""
"        Estimate","420","17","2,471","120","197"
"    Percent Female","","","","",""
"        Estimate","(X)","4.0%","(X)","4.9%","8.0%"
"Hampton city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","14,696","1,354","93,055","2,291","4,483"
"    Percent","","","","",""
"        Estimate","(X)","9.2%","(X)","2.5%","4.8%"
"    Male","","","","",""
"        Estimate","7,355","830","43,419","996","2,058"
"    Percent Male","","","","",""
"        Estimate","(X)","11.3%","(X)","2.3%","4.7%"
"    Female","","","","",""
"        Estimate","7,341","524","49,636","1,295","2,425"
"    Percent Female","","","","",""
"        Estimate","(X)","7.1%","(X)","2.6%","4.9%"
"Harrisonburg city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","16,545","438","26,146","2,407","1,972"
"    Percent","","","","",""
"        Estimate","(X)","2.6%","(X)","9.2%","7.5%"
"    Male","","","","",""
"        Estimate","7,303","287","13,103","1,444","1,098"
"    Percent Male","","","","",""
"        Estimate","(X)","3.9%","(X)","11.0%","8.4%"
"    Female","","","","",""
"        Estimate","9,242","151","13,043","963","874"
"    Percent Female","","","","",""
"        Estimate","(X)","1.6%","(X)","7.4%","6.7%"
"Hopewell city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","2,150","592","14,936","614","1,223"
"    Percent","","","","",""
"        Estimate","(X)","27.5%","(X)","4.1%","8.2%"
"    Male","","","","",""
"        Estimate","1,220","435","6,497","341","599"
"    Percent Male","","","","",""
"        Estimate","(X)","35.7%","(X)","5.2%","9.2%"
"    Female","","","","",""
"        Estimate","930","157","8,439","273","624"
"    Percent Female","","","","",""
"        Estimate","(X)","16.9%","(X)","3.2%","7.4%"
"Lexington city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,643","85","3,251","39","95"
"    Percent","","","","",""
"        Estimate","(X)","2.3%","(X)","1.2%","2.9%"
"    Male","","","","",""
"        Estimate","2,440","0","1,465","11","14"
"    Percent Male","","","","",""
"        Estimate","(X)","0.0%","(X)","0.8%","1.0%"
"    Female","","","","",""
"        Estimate","1,203","85","1,786","28","81"
"    Percent Female","","","","",""
"        Estimate","(X)","7.1%","(X)","1.6%","4.5%"
"Lynchburg city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","19,413","583","44,536","1,495","2,770"
"    Percent","","","","",""
"        Estimate","(X)","3.0%","(X)","3.4%","6.2%"
"    Male","","","","",""
"        Estimate","8,812","178","20,420","651","1,366"
"    Percent Male","","","","",""
"        Estimate","(X)","2.0%","(X)","3.2%","6.7%"
"    Female","","","","",""
"        Estimate","10,601","405","24,116","844","1,404"
"    Percent Female","","","","",""
"        Estimate","(X)","3.8%","(X)","3.5%","5.8%"
"Manassas city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","3,516","364","27,629","2,929","2,129"
"    Percent","","","","",""
"        Estimate","(X)","10.4%","(X)","10.6%","7.7%"
"    Male","","","","",""
"        Estimate","1,797","162","13,925","1,553","1,244"
"    Percent Male","","","","",""
"        Estimate","(X)","9.0%","(X)","11.2%","8.9%"
"    Female","","","","",""
"        Estimate","1,719","202","13,704","1,376","885"
"    Percent Female","","","","",""
"        Estimate","(X)","11.8%","(X)","10.0%","6.5%"
"Manassas Park city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,646","354","11,178","1,492","869"
"    Percent","","","","",""
"        Estimate","(X)","21.5%","(X)","13.3%","7.8%"
"    Male","","","","",""
"        Estimate","772","173","5,867","874","477"
"    Percent Male","","","","",""
"        Estimate","(X)","22.4%","(X)","14.9%","8.1%"
"    Female","","","","",""
"        Estimate","874","181","5,311","618","392"
"    Percent Female","","","","",""
"        Estimate","(X)","20.7%","(X)","11.6%","7.4%"
"Martinsville city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","1,261","175","8,749","607","611"
"    Percent","","","","",""
"        Estimate","(X)","13.9%","(X)","6.9%","7.0%"
"    Male","","","","",""
"        Estimate","635","38","3,939","369","210"
"    Percent Male","","","","",""
"        Estimate","(X)","6.0%","(X)","9.4%","5.3%"
"    Female","","","","",""
"        Estimate","626","137","4,810","238","401"
"    Percent Female","","","","",""
"        Estimate","(X)","21.9%","(X)","4.9%","8.3%"
"Newport News city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","21,356","1,835","120,364","3,405","6,417"
"    Percent","","","","",""
"        Estimate","(X)","8.6%","(X)","2.8%","5.3%"
"    Male","","","","",""
"        Estimate","11,287","964","56,447","1,486","3,008"
"    Percent Male","","","","",""
"        Estimate","(X)","8.5%","(X)","2.6%","5.3%"
"    Female","","","","",""
"        Estimate","10,069","871","63,917","1,919","3,409"
"    Percent Female","","","","",""
"        Estimate","(X)","8.7%","(X)","3.0%","5.3%"
"Norfolk city, Virginia","","","","",""
"    Total","","","","",""
"        Estimate","35,092","2,016","151,855","4,703","11,058"
"    Percent","","","","",""
"        Estimate","(X)","5.7%","(X)","3.1%","7.3%"
"    Male","","","","",""
"        Estimate","20,183","1,209","74,607","2,415","5,418"
"    Percent Male","","","","",""
"        Estimate","(X)","6.0%","(X)","3.2%","7.3%"
"    Female","","","","",""
"        Estimate","14,909","807","77,248","2,288","5,640"
"    Percent Female","","","","",""
