"Label (Grouping)","Population 1 year and over"
"        Estimate","0.5%"
"        Margin of Error","±0.1"
"Cherokee County, South Carolina",""
"    Total",""
"        Estimate","56,301"
"        Margin of Error","±204"
"    Moved; within same county",""
"        Estimate","7.6%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Chester County, South Carolina",""
"    Total",""
"        Estimate","31,940"
"        Margin of Error","±156"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","1.7%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Chesterfield County, South Carolina",""
"    Total",""
"        Estimate","45,462"
"        Margin of Error","±155"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","2.4%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Clarendon County, South Carolina",""
"    Total",""
"        Estimate","33,660"
"        Margin of Error","±100"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Colleton County, South Carolina",""
"    Total",""
"        Estimate","37,137"
"        Margin of Error","±186"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","1.6%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Darlington County, South Carolina",""
"    Total",""
"        Estimate","66,133"
"        Margin of Error","±257"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Dillon County, South Carolina",""
"    Total",""
"        Estimate","30,281"
"        Margin of Error","±130"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Dorchester County, South Carolina",""
"    Total",""
"        Estimate","156,543"
"        Margin of Error","±248"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","5.8%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Edgefield County, South Carolina",""
"    Total",""
"        Estimate","26,800"
"        Margin of Error","±47"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Fairfield County, South Carolina",""
"    Total",""
"        Estimate","22,308"
"        Margin of Error","±113"
"    Moved; within same county",""
"        Estimate","5.8%"
"        Margin of Error","±2.8"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Florence County, South Carolina",""
"    Total",""
"        Estimate","136,703"
"        Margin of Error","±282"
"    Moved; within same county",""
"        Estimate","7.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Georgetown County, South Carolina",""
"    Total",""
"        Estimate","61,516"
"        Margin of Error","±155"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Greenville County, South Carolina",""
"    Total",""
"        Estimate","500,488"
"        Margin of Error","±544"
"    Moved; within same county",""
"        Estimate","8.9%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","2.7%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","1.0%"
"        Margin of Error","±0.2"
"Greenwood County, South Carolina",""
"    Total",""
"        Estimate","69,721"
"        Margin of Error","±165"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Hampton County, South Carolina",""
"    Total",""
"        Estimate","19,455"
"        Margin of Error","±60"
"    Moved; within same county",""
"        Estimate","4.2%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Horry County, South Carolina",""
"    Total",""
"        Estimate","329,534"
"        Margin of Error","±326"
"    Moved; within same county",""
"        Estimate","7.7%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","1.4%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","4.7%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Jasper County, South Carolina",""
"    Total",""
"        Estimate","28,406"
"        Margin of Error","±133"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±2.6"
"    Moved; from different county, same state",""
"        Estimate","6.6%"
"        Margin of Error","±2.3"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Kershaw County, South Carolina",""
"    Total",""
"        Estimate","64,605"
"        Margin of Error","±173"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"Lancaster County, South Carolina",""
"    Total",""
"        Estimate","91,548"
"        Margin of Error","±220"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","5.0%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Laurens County, South Carolina",""
"    Total",""
"        Estimate","66,007"
"        Margin of Error","±149"
"    Moved; within same county",""
"        Estimate","8.5%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Lee County, South Carolina",""
"    Total",""
"        Estimate","17,137"
"        Margin of Error","±91"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Lexington County, South Carolina",""
"    Total",""
"        Estimate","286,651"
"        Margin of Error","±381"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"McCormick County, South Carolina",""
"    Total",""
"        Estimate","9,485"
"        Margin of Error","±39"
"    Moved; within same county",""
"        Estimate","2.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","7.8%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"Marion County, South Carolina",""
"    Total",""
"        Estimate","30,909"
"        Margin of Error","±237"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"Marlboro County, South Carolina",""
"    Total",""
"        Estimate","26,409"
"        Margin of Error","±137"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Newberry County, South Carolina",""
"    Total",""
"        Estimate","37,799"
"        Margin of Error","±162"
"    Moved; within same county",""
"        Estimate","5.4%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Oconee County, South Carolina",""
"    Total",""
"        Estimate","76,718"
"        Margin of Error","±186"
"    Moved; within same county",""
"        Estimate","6.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.5%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Orangeburg County, South Carolina",""
"    Total",""
"        Estimate","86,851"
"        Margin of Error","±183"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Pickens County, South Carolina",""
"    Total",""
"        Estimate","122,649"
"        Margin of Error","±247"
"    Moved; within same county",""
"        Estimate","8.3%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","6.9%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","4.2%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Richland County, South Carolina",""
"    Total",""
"        Estimate","406,747"
"        Margin of Error","±422"
"    Moved; within same county",""
"        Estimate","9.8%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","4.9%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","6.6%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.2"
"Saluda County, South Carolina",""
"    Total",""
"        Estimate","20,100"
"        Margin of Error","±140"
"    Moved; within same county",""
"        Estimate","2.4%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Spartanburg County, South Carolina",""
"    Total",""
"        Estimate","304,027"
"        Margin of Error","±418"
"    Moved; within same county",""
"        Estimate","8.6%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Sumter County, South Carolina",""
"    Total",""
"        Estimate","105,226"
"        Margin of Error","±300"
"    Moved; within same county",""
"        Estimate","9.2%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","1.7%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.3"
"Union County, South Carolina",""
"    Total",""
"        Estimate","27,177"
"        Margin of Error","±110"
"    Moved; within same county",""
"        Estimate","7.3%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Williamsburg County, South Carolina",""
"    Total",""
"        Estimate","31,056"
"        Margin of Error","±119"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"York County, South Carolina",""
"    Total",""
"        Estimate","262,928"
"        Margin of Error","±436"
"    Moved; within same county",""
"        Estimate","7.2%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","5.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Aurora County, South Dakota",""
"    Total",""
"        Estimate","2,746"
"        Margin of Error","±10"
"    Moved; within same county",""
"        Estimate","2.0%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±2.9"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Beadle County, South Dakota",""
"    Total",""
"        Estimate","18,003"
"        Margin of Error","±125"
"    Moved; within same county",""
"        Estimate","8.5%"
"        Margin of Error","±2.8"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Bennett County, South Dakota",""
"    Total",""
"        Estimate","3,352"
"        Margin of Error","±33"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±3.7"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Bon Homme County, South Dakota",""
"    Total",""
"        Estimate","6,885"
"        Margin of Error","±15"
"    Moved; within same county",""
"        Estimate","3.5%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","9.6%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","3.6%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Brookings County, South Dakota",""
"    Total",""
"        Estimate","34,246"
"        Margin of Error","±99"
"    Moved; within same county",""
"        Estimate","9.2%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","7.5%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","5.1%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","1.0%"
"        Margin of Error","±0.5"
"Brown County, South Dakota",""
"    Total",""
"        Estimate","38,438"
"        Margin of Error","±151"
"    Moved; within same county",""
"        Estimate","10.2%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","3.3%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.4"
"Brule County, South Dakota",""
"    Total",""
"        Estimate","5,137"
"        Margin of Error","±41"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Buffalo County, South Dakota",""
"    Total",""
"        Estimate","1,984"
"        Margin of Error","±18"
"    Moved; within same county",""
"        Estimate","5.0%"
"        Margin of Error","±2.3"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.1"
"Butte County, South Dakota",""
"    Total",""
"        Estimate","10,143"
"        Margin of Error","±52"
"    Moved; within same county",""
"        Estimate","9.1%"
"        Margin of Error","±3.7"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±1.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Campbell County, South Dakota",""
"    Total",""
"        Estimate","1,470"
"        Margin of Error","±102"
"    Moved; within same county",""
"        Estimate","1.4%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±2.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.5"
"Charles Mix County, South Dakota",""
"    Total",""
"        Estimate","9,167"
"        Margin of Error","±34"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Clark County, South Dakota",""
"    Total",""
"        Estimate","3,624"
"        Margin of Error","±28"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±2.1"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±2.8"
"    Moved; from different  state",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.6"
"Clay County, South Dakota",""
"    Total",""
"        Estimate","13,740"
"        Margin of Error","±97"
"    Moved; within same county",""
"        Estimate","14.8%"
"        Margin of Error","±2.5"
"    Moved; from different county, same state",""
"        Estimate","11.3%"
"        Margin of Error","±2.6"
"    Moved; from different  state",""
"        Estimate","8.5%"
"        Margin of Error","±2.1"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.5"
"Codington County, South Dakota",""
"    Total",""
"        Estimate","27,634"
"        Margin of Error","±112"
"    Moved; within same county",""
"        Estimate","8.3%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Corson County, South Dakota",""
"    Total",""
"        Estimate","4,076"
"        Margin of Error","±15"
"    Moved; within same county",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from different county, same state",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Custer County, South Dakota",""
"    Total",""
"        Estimate","8,670"
"        Margin of Error","±22"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±2.7"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","3.5%"
"        Margin of Error","±1.4"
"    Moved; from abroad",""
"        Estimate","1.0%"
"        Margin of Error","±0.8"
"Davison County, South Dakota",""
"    Total",""
"        Estimate","19,606"
"        Margin of Error","±130"
"    Moved; within same county",""
"        Estimate","8.7%"
"        Margin of Error","±2.9"
"    Moved; from different county, same state",""
"        Estimate","8.2%"
"        Margin of Error","±2.0"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±1.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Day County, South Dakota",""
"    Total",""
"        Estimate","5,441"
"        Margin of Error","±20"
"    Moved; within same county",""
"        Estimate","3.7%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Deuel County, South Dakota",""
"    Total",""
"        Estimate","4,219"
"        Margin of Error","±30"
"    Moved; within same county",""
"        Estimate","2.6%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","2.0%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Dewey County, South Dakota",""
"    Total",""
"        Estimate","5,708"
"        Margin of Error","±47"
"    Moved; within same county",""
"        Estimate","2.8%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","0.9%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Douglas County, South Dakota",""
"    Total",""
"        Estimate","2,891"
"        Margin of Error","±17"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","1.7%"
"        Margin of Error","±1.1"
"Edmunds County, South Dakota",""
"    Total",""
"        Estimate","3,880"
"        Margin of Error","±19"
"    Moved; within same county",""
"        Estimate","1.1%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.6"
"Fall River County, South Dakota",""
"    Total",""
"        Estimate","6,669"
"        Margin of Error","±48"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±3.4"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","3.5%"
"        Margin of Error","±1.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Faulk County, South Dakota",""
"    Total",""
"        Estimate","2,261"
"        Margin of Error","±22"
"    Moved; within same county",""
"        Estimate","1.8%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","5.1%"
"        Margin of Error","±6.2"
"    Moved; from different  state",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Grant County, South Dakota",""
"    Total",""
"        Estimate","7,085"
"        Margin of Error","±48"
"    Moved; within same county",""
"        Estimate","3.0%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","1.7%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","4.0%"
"        Margin of Error","±2.0"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Gregory County, South Dakota",""
"    Total",""
"        Estimate","4,138"
"        Margin of Error","±21"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","3.4%"
"        Margin of Error","±1.8"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Haakon County, South Dakota",""
"    Total",""
"        Estimate","2,000"
"        Margin of Error","±120"
"    Moved; within same county",""
"        Estimate","2.0%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","1.4%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±1.1"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±1.1"
"Hamlin County, South Dakota",""
"    Total",""
"        Estimate","5,912"
"        Margin of Error","±25"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","7.4%"
"        Margin of Error","±2.9"
"    Moved; from different  state",""
"        Estimate","2.0%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"Hand County, South Dakota",""
"    Total",""
"        Estimate","3,211"
"        Margin of Error","±109"
"    Moved; within same county",""
"        Estimate","3.2%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","1.7%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Hanson County, South Dakota",""
"    Total",""
"        Estimate","3,358"
"        Margin of Error","±16"
"    Moved; within same county",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"    Moved; from different county, same state",""
"        Estimate","3.9%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±1.8"
